"","Property","Price","Type","Bedrooms","Bathrooms","Station","URl","pp_pw"
"1","Sandalwood Close Solebay Street, Mile End, Stepney Green, London E1",695,NA,5,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/49823958/",34.75
"2","Sandalwood Close Solebay Street, Mile End, Stepney Green, London E1",750,NA,5,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/49823727/",37.5
"3","Sandalwood Close Solebay Street, Mile End, Stepney Green, London E1",750,NA,5,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/49823913/",37.5
"4","Hamlets Way, London E3",1733,"flat",4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/57727054/",108.3125
"5","Wager Street, Off Burdett Road, Mile End, London E3",2250,NA,5,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58614622/",112.5
"6","Ackroyd Drive, London E3",2383,NA,5,"NA","Mile End","https://www.zoopla.co.uk/to-rent/details/52118227/",119.15
"7","Arbery Road, Bow E3",1998,"flat",4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58995307/",124.875
"8","Malting House, Bow E3",2002,"flat",4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58789741/",125.125
"9","Gilbert House, London E2",1600,NA,3,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58443195/",133.333333333333
"10","Solebay St, Off Mile End Road, London E1",2200,NA,4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58886568/",137.5
"11","Forida Street, London E2",2200,NA,4,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58716972/",137.5
"12","Kedleston Walk, London E2",1650,NA,3,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/57853630/",137.5
"13","Gilbert House, Usk Street, London E2",1675,NA,3,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/51782791/",139.583333333333
"14","Sandalwood Close, Stepney Green/Mile End E1",1690,NA,3,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/57733096/",140.833333333333
"15","Wager Street, London E3",1700,"flat",3,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58994796/",141.666666666667
"16","Hollybush Gardens, London E2",1700,"flat",3,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58818618/",141.666666666667
"17","Windermere House, Mile End E3",2297,"flat",4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/59002411/",143.5625
"18","Eric Street, London E3",2297,NA,4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58923309/",143.5625
"19","Wickford Street, London E1",1750,"flat",3,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58782271/",145.833333333333
"20","Sandalwood Close, London E1",1800,NA,3,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/59014934/",150
"21","London, Mile End E3",3100,"house",5,"2","Mile End","https://www.zoopla.co.uk/to-rent/details/16160446/",155
"22","Joseph Street, London E3",1900,"flat",3,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58961051/",158.333333333333
"23","Wickford Street, Stepney, London E1",1907,"flat",3,"NA","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58525301/",158.916666666667
"24","Cambridge Heath Road, Whitechapel, London E1",2600,"flat",4,"NA","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/40834766/",162.5
"25","Hollybush House, Hollybush Gardens, London E2",1950,"flat",3,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58846973/",162.5
"26","Walvisch House, Bow Common Lane, Mile End, London E3",3900,"house",6,"2","Mile End","https://www.zoopla.co.uk/to-rent/details/54881533/",162.5
"27","Wager Street, Mile End E3",2000,NA,3,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/59034863/",166.666666666667
"28","Victoria Park Square, London E2",3350,NA,5,"2","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58765861/",167.5
"29","St. Stephens Road, London E3",2050,NA,3,"2","Mile End","https://www.zoopla.co.uk/to-rent/details/59010340/",170.833333333333
"30","11 Eric Street, London E3",2800,"house",4,"2","Mile End","https://www.zoopla.co.uk/to-rent/details/55128718/",175
"31","Morris House, London E2",2200,"house",3,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/57547438/",183.333333333333
"32","Gosset Street, London E2",2200,"property",3,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/55757246/",183.333333333333
"33","Johnson House, Bethnal Green E2",2200,NA,3,"2","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58805045/",183.333333333333
"34","Bradley Lynch Court, Morpeth Street, Bethnal Green E2",2947,"flat",4,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/51995708/",184.1875
"35","Rosebank Gardens, London E3",2250,"flat",3,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58615301/",187.5
"36","Eric Street, Mile End E3",2253,NA,3,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58741308/",187.75
"37","St Matthews Row, Bethnal Green, London E2",3033,"house",4,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58982749/",189.5625
"38","Grand Walk, Solebay Street, London E1",3228,"house",4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/55396488/",201.75
"39","Grand Walk, Mile End E1",3228,"house",4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/50865502/",201.75
"40","Grand Walk, London E1",3261,"house",4,"2","Mile End","https://www.zoopla.co.uk/to-rent/details/58363271/",203.8125
"41","Grand Walk, Solebay Street, London E1",3397,"house",4,"NA","Mile End","https://www.zoopla.co.uk/to-rent/details/44510716/",212.3125
"42","Zealand Road, London E3",3400,"house",4,"NA","Mile End","https://www.zoopla.co.uk/to-rent/details/58799954/",212.5
"43","Greville Street, Chancery Lane Ec1 EC1N",3450,"flat",4,"2","Chancery Lane","https://www.zoopla.co.uk/to-rent/details/58250454/",215.625
"44","Coborn Road, Bow, London E3",2600,"flat",3,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58662152/",216.666666666667
"45","Zealand Road, London E3",2600,"house",3,"2","Mile End","https://www.zoopla.co.uk/to-rent/details/59011569/",216.666666666667
"46","Vallance Road, London E2",2700,"house",3,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58986598/",225
"47","Montague Mews, London E3",2752,"flat",3,"2","Mile End","https://www.zoopla.co.uk/to-rent/details/58977965/",229.333333333333
"48","Montague Mews, London E3",2752,"house",3,"2","Mile End","https://www.zoopla.co.uk/to-rent/details/58643738/",229.333333333333
"49","Bedford Avenue, London WC1B",3120,"flat",3,"1","Tottenham Court Road","https://www.zoopla.co.uk/to-rent/details/55233056/",260
"50","Bedford Court Mansions, Bedford Avenue, Bloomsbury, London WC1B",4312,"flat",4,"2","Tottenham Court Road","https://www.zoopla.co.uk/to-rent/details/35298837/",269.5
"51","Hatton Garden, London EC1N",3358,"flat",3,"2","Chancery Lane","https://www.zoopla.co.uk/to-rent/details/52411257/",279.833333333333
"52","West One House, Fitzrovia W1W",3770,"flat",3,"2","Oxford Circus","https://www.zoopla.co.uk/to-rent/details/58626445/",314.166666666667
"53","The Old, London WC1R",3800,"house",3,"2","Holborn","https://www.zoopla.co.uk/to-rent/details/58625707/",316.666666666667
"54","Bloomsbury Way, London WC1A",3987,"flat",3,"2","Holborn","https://www.zoopla.co.uk/to-rent/details/54953187/",332.25
"55","Kingsway, London WC2B",4500,"flat",3,"2","Holborn","https://www.zoopla.co.uk/to-rent/details/58490786/",375
